"Year","Region","Deposits","Credit"
"1978","India",2010,1105
"1979","India",2664,1530
"1980","India",3559,2003
"1981","India",4644,2643
"1982","India",5939,3600
"1983","India",7414,4473
"1984","India",8828,5576
"1985","India",9603,6589
"1986","India",11722,7489
"1987","India",14375,9387
"1988","India",17527,11127
"1989","India",20907,13452
"1990","India",24383,15546
"1991","India",28609,17352
"1992","India",33163,19688
"1993","India",35058,20587
"1994","India",40672,23156
"1995","India",47776,25074
"1996","India",61106,29122
"1997","India",73769,32525
"1998","India",86706,37598
"1999","India",102697,42090
"2000","India",120539,48753
"2001","India",139431,54431
"2002","India",159423,66682
"2003","India",176502,77153
"2004","India",195082,85021
"2005","India",213104,109976
"2006","India",226061,126078
"2007","India",253014,154898
"2008","India",303423,183107
"2009","India",363910,207926
"2010","India",42033772,24927696
"2011","India",4932655.2,2958145.4
"1977-78","Bankura",5.11,2.53
"1978-79","Bankura",7.42,3.02
"1979-80","Bankura",10.83,4.52
"1980-81","Bankura",13.41,4.74
"1981-82","Bankura",40.6,10.24
"1982-83","Bankura",19.23,8.02
"1983-84","Bankura",30.14,8.95
"1984-85","Bankura",25.88,11.68
"1985-86","Bankura",34.29,14.27
"1986-87","Bankura",45.74,21.25
"1987-88","Bankura",62.37,25.13
"1988-89","Bankura",70.58,30.47
"1989-90","Bankura",53.14,22.15
"1990-91","Bankura",99.56,40.31
"1991-92","Bankura",116.59,50.64
"1992-93","Bankura",134.28,56.31
"1993-94","Bankura",165.95,62.1
"1994-95","Bankura",194,67.67
"1995-96","Bankura",229.42,76.13
"1996-97","Bankura",286.16,82.11
"1997-98","Bankura",345.15,93.68
"1998-99","Bankura",417.31,102.47
"1999-2000","Bankura",495.31,121.98
"2000-01","Bankura",568.27,127.56
"1977-78","Barddhaman",18.76,7.84
"1978-79","Barddhaman",4.86,2.64
"1979-80","Barddhaman",7.44,5.62
"1980-81","Barddhaman",10.45,5.67
"1981-82","Barddhaman",12.23,7.84
"1982-83","Barddhaman",17.26,12.47
"1983-84","Barddhaman",15.05,12.28
"1984-85","Barddhaman",22.41,12.97
"1985-86","Barddhaman",30.68,17.21
"1986-87","Barddhaman",38.7,20.25
"1987-88","Barddhaman",54.19,24.33
"1988-89","Barddhaman",62.55,29.88
"1989-90","Barddhaman",46.38,21.87
"1990-91","Barddhaman",270,109.71
"1991-92","Barddhaman",302.94,124.13
"1992-93","Barddhaman",341.94,134.72
"1993-94","Barddhaman",375.78,143.25
"1994-95","Barddhaman",396.22,145.38
"1995-96","Barddhaman",480.73,165.81
"1996-97","Barddhaman",583.85,181.52
"1997-98","Barddhaman",700.38,206.16
"1998-99","Barddhaman",843.23,226.93
"1999-2000","Barddhaman",981.49,257.18
"2000-01","Barddhaman",1120.01,276.85
"1977-78","Birbhum",15.38,2.06
"1978-79","Birbhum",21.01,4.02
"1979-80","Birbhum",35.63,6.06
"1980-81","Birbhum",45.69,8.71
"1981-82","Birbhum",47.82,10.54
"1982-83","Birbhum",66.34,16.35
"1983-84","Birbhum",66.91,16.48
"1984-85","Birbhum",86.24,21.7
"1985-86","Birbhum",108.92,30.93
"1986-87","Birbhum",136.59,40.62
"1987-88","Birbhum",180.69,50.43
"1988-89","Birbhum",183.93,57.94
"1989-90","Birbhum",164.72,46.53
"1990-91","Birbhum",81,41.64
"1991-92","Birbhum",93.26,50.09
"1992-93","Birbhum",166.79,57.77
"1993-94","Birbhum",129.89,66.83
"1994-95","Birbhum",152.97,73.75
"1995-96","Birbhum",184.59,82.9
"1996-97","Birbhum",228.84,96.04
"1997-98","Birbhum",279.34,110.5
"1998-99","Birbhum",341.2,119.96
"1999-2000","Birbhum",409.91,127.91
"2000-01","Birbhum",475.52,153.26
"1977-78","Cooch Bihar",1.57,1.21
"1978-79","Cooch Bihar",2.4,1.86
"1979-80","Cooch Bihar",4.28,2.73
"1980-81","Cooch Bihar",13.53,3.72
"1981-82","Cooch Bihar",5.38,4.2
"1982-83","Cooch Bihar",6.55,7.64
"1983-84","Cooch Bihar",4.77,9.89
"1984-85","Cooch Bihar",8.63,10.15
"1985-86","Cooch Bihar",10.79,13.21
"1986-87","Cooch Bihar",12.92,17.88
"1987-88","Cooch Bihar",24.41,19.88
"1988-89","Cooch Bihar",18,21.42
"1989-90","Cooch Bihar",42.893,17.93
"1990-91","Cooch Bihar",29.78,27.98
"1991-92","Cooch Bihar",67.99,25.99
"1992-93","Cooch Bihar",38.24,42.4
"1993-94","Cooch Bihar",49.01,47.63
"1994-95","Cooch Bihar",41.36,42.49
"1995-96","Cooch Bihar",54.01,50.58
"1996-97","Cooch Bihar",63.51,61.2
"1997-98","Cooch Bihar",79.78,60.58
"1998-99","Cooch Bihar",92.13,59.61
"1999-2000","Cooch Bihar",126.14,67.28
"2000-01","Cooch Bihar",148.16,78.46
"1977-78","Darjeeling",1.65,0.79
"1978-79","Darjeeling",2.2,1.07
"1979-80","Darjeeling",3.52,1.46
"1980-81","Darjeeling",5.1,2.28
"1981-82","Darjeeling",5.67,2.99
"1982-83","Darjeeling",6.96,5.4
"1983-84","Darjeeling",7.8,5.93
"1984-85","Darjeeling",11.6,7.82
"1985-86","Darjeeling",15,9.61
"1986-87","Darjeeling",17.32,10.57
"1987-88","Darjeeling",21.44,12.75
"1988-89","Darjeeling",24.28,13.71
"1989-90","Darjeeling",19.69,10.8
"1990-91","Darjeeling",34.24,15.78
"1991-92","Darjeeling",41.6,17.69
"1992-93","Darjeeling",47.5,19.59
"1993-94","Darjeeling",57.94,21.03
"1994-95","Darjeeling",59.7,21.89
"1995-96","Darjeeling",71.09,24.77
"1996-97","Darjeeling",83.92,28.41
"1997-98","Darjeeling",101,30.71
"1998-99","Darjeeling",117.88,30.12
"1999-2000","Darjeeling",146.17,32.9
"2000-01","Darjiling",183.36,37.37
"1977-78","Howrah",18.56,7.72
"1978-79","Howrah",23.17,8.82
"1979-80","Howrah",35.1,11.44
"1980-81","Howrah",41.39,12.82
"1981-82","Howrah",42.67,13.62
"1982-83","Howrah",54.08,19.49
"1983-84","Howrah",50.92,2.86
"1984-85","Howrah",70.72,23.95
"1985-86","Howrah",89.32,28.53
"1986-87","Howrah",110.67,36.67
"1987-88","Howrah",132.22,48.89
"1988-89","Howrah",148.38,57.49
"1989-90","Howrah",122.5,41.95
"1990-91","Howrah",150.88,44.04
"1991-92","Howrah",173.85,52.65
"1992-93","Howrah",206.67,58.04
"1993-94","Howrah",244.88,62.35
"1994-95","Howrah",256.52,62.44
"1995-96","Howrah",303.97,72.27
"1996-97","Howrah",378.82,82.28
"1997-98","Howrah",461.82,86.2
"1998-99","Howrah",556.47,98.59
"1999-2000","Howrah",664.31,98.45
"2000-01","Howrah",771.17,97.19
"1977-78","Hugli",12.76,1.93
"1978-79","Hugli",17.17,2.9
"1979-80","Hugli",25.55,3.98
"1980-81","Hugli",32.57,4.72
"1981-82","Hugli",33.69,5.2
"1982-83","Hugli",45.79,7.44
"1983-84","Hugli",49.41,8.92
"1984-85","Hugli",55.98,19.82
"1985-86","Hugli",73.95,14.55
"1986-87","Hugli",85.83,19.15
"1987-88","Hugli",94.73,23.81
"1988-89","Hugli",112.34,62.2
"1989-90","Hugli",92.74,21.55
"1990-91","Hugli",215.45,80.72
"1991-92","Hugli",243.22,89.9
"1992-93","Hugli",272.41,103.44
"1993-94","Hugli",337.89,105.6
"1994-95","Hugli",336.06,119.35
"1995-96","Hugli",404.52,123.46
"1996-97","Hugli",483.91,135.16
"1997-98","Hugli",572.13,146.49
"1998-99","Hugli",685.72,151.24
"1999-2000","Hugli",783.72,165.86
"2000-01","Hugli",895.58,172.58
"1977-78","Jalpaiguri",4.56,0.89
"1978-79","Jalpaiguri",6.56,1.31
"1979-80","Jalpaiguri",16.11,1.85
"1980-81","Jalpaiguri",10.94,3.11
"1981-82","Jalpaiguri",12.2,3.83
"1982-83","Jalpaiguri",42.83,7.77
"1983-84","Jalpaiguri",52.44,8.99
"1984-85","Jalpaiguri",55.63,10.08
"1985-86","Jalpaiguri",57.81,13.51
"1986-87","Jalpaiguri",84.83,15.65
"1987-88","Jalpaiguri",99.83,17.05
"1988-89","Jalpaiguri",106.62,19.94
"1989-90","Jalpaiguri",95.35,17.16
"1990-91","Jalpaiguri",91.25,26.62
"1991-92","Jalpaiguri",97.17,30.78
"1992-93","Jalpaiguri",87.82,40.52
"1993-94","Jalpaiguri",107.98,99.77
"1994-95","Jalpaiguri",109,60.65
"1995-96","Jalpaiguri",146.74,46.37
"1996-97","Jalpaiguri",166.97,51.24
"1997-98","Jalpaiguri",254.86,53.32
"1998-99","Jalpaiguri",395.51,51.93
"1999-2000","Jalpaiguri",447.15,55.62
"2000-01","Jalpaiguri",451.9,71.17
"1977-78","Maldah",10.68,4.38
"1978-79","Maldah",13.51,16.47
"1979-80","Maldah",18.56,8.95
"1980-81","Maldah",22.2,11.02
"1981-82","Maldah",21.69,12.83
"1982-83","Maldah",36.25,18.73
