"Year","Seasons","Urea","A_S","ACl","CAN","SSP","TSP","MOP","SOP","DAP","MAP","Rock","X10.26.26","X12.32.16","X14.35.14","X15.15.15","X16.20.0","X17.17.17","X19.19.19","X20.20.0","X23.23.0","X28.28.0","X14.28.14","NP.NPKs_other_than_DAP"
"1990-91","Kharif",6415.42,291.48,38.08,184.53,1750.25,NA,813.95,14.9,1690.72,NA,61.87,197.07,133.28,13.23,189.02,45.01,356.22,85.6,427.62,27.67,179.32,NA,1654.04
"1990-91","Rabi",7661.13,239.98,47.33,211.8,1807.99,NA,817.02,16.8,2557.39,NA,73.22,136.84,137.96,8,201.15,32.15,237.89,137.08,377.37,11.32,178.93,NA,1458.69
"1990-91","Total",14076.55,531.46,85.41,396.33,3558.24,NA,1630.97,31.7,4248.11,NA,135.09,333.91,271.24,21.23,390.17,77.16,594.11,222.68,804.99,38.99,358.25,NA,3112.73
"1991-92","Kharif",6443.68,232.38,38.65,182.1,1766.87,NA,844.03,14.24,1887.57,NA,61.71,183.26,181.46,14.16,214.11,51.63,212.97,40.36,465.1,37.45,186.54,55,1642.04
"1991-92","Rabi",7559.61,254.69,47.19,218.16,1397.92,NA,856.85,6.57,2630.14,NA,59.37,150.72,106.59,6.93,160.14,56.5,343.99,127.93,431.8,55.87,193.06,NA,1633.53
"1991-92","Total",14003.29,487.07,85.84,400.26,3164.79,NA,1700.88,20.81,4517.71,NA,121.08,333.98,288.05,21.09,374.25,108.13,556.96,168.29,896.9,93.32,379.6,55,3275.57
"1992-93","Kharif",6575.74,252.7,52.73,195.59,1146.06,NA,671.09,8.96,1933.96,NA,43.01,124.49,127.77,18.11,161.15,41,455.39,84.48,415.43,147.21,185.23,NA,1760.26
"1992-93","Rabi",8329.67,317.74,70.27,359.12,862.4,NA,303.21,7.41,2118.04,NA,56.27,80.68,127.92,7.14,98.32,28.03,312.55,45.79,398.55,45.82,138.37,NA,1283.17
"1992-93","Total",14905.41,570.44,123,554.71,2008.46,NA,974.3,16.37,4052,NA,99.28,205.17,255.69,25.25,259.47,69.03,767.94,130.27,813.98,193.03,323.6,NA,3043.43
"1993-94","Kharif",7290.4,263.3,50.4,310.49,1052.5,NA,486.24,5.35,1389.78,NA,57.26,226.31,71.72,12.47,136.66,62.7,270.09,61.39,566.95,17.14,127.85,NA,1553.28
"1993-94","Rabi",8520.06,328.12,88.84,318.61,1300.15,NA,566.49,3.43,2090.31,NA,63.73,207.34,55.49,5.86,134.16,46.39,335.82,53.36,570.32,17.77,179.3,NA,1605.81
"1993-94","Total",15810.46,591.42,139.24,629.1,2352.65,NA,1052.73,8.78,3480.09,NA,120.99,433.65,127.21,18.33,270.82,109.09,605.91,114.75,1137.27,34.91,307.15,NA,3159.09
"1994-95","Kharif",7945.4,246.41,44.98,245.34,1294.93,NA,548.33,6.82,1659.77,NA,62.45,256.34,99.14,6.76,190.75,76.28,403.95,92.39,786.14,23.36,189.99,NA,2125.1
"1994-95","Rabi",9166.46,302,70.23,261.13,1331.34,NA,722.03,4.08,1925.75,NA,64.11,101.93,172.06,16.22,164.9,68.11,350.76,66.58,737.33,32.13,138.97,NA,1848.99
"1994-95","Total",17111.86,548.41,115.21,506.47,2626.27,NA,1270.36,10.9,3585.52,NA,126.56,358.27,271.2,22.98,355.65,144.39,754.71,158.97,1523.47,55.49,328.96,NA,3974.09
"1995-96","Kharif",8820.27,309.08,42.81,209.2,1645.92,NA,710.03,8.73,1686.4,NA,56.75,112.67,138.12,7.02,163.31,89.32,389,81.91,826.92,66.56,163.62,NA,2038.45
"1995-96","Rabi",9088.68,278.94,69.34,238.48,1337.41,NA,682.25,3.17,1765.07,NA,84.2,119.28,146.54,24.76,145.53,66.61,342.67,92.74,699.15,74.14,101.57,NA,1812.99
"1995-96","Total",17908.95,588.02,112.15,447.68,2983.33,NA,1392.28,11.9,3451.47,NA,140.95,231.95,284.66,31.78,308.84,155.93,731.67,174.65,1526.07,140.7,265.19,NA,3851.44
"1996-97","Kharif",9227.67,300.58,50.87,182.91,1518.94,NA,626.22,7.77,1542.67,NA,62.12,137.75,209.23,35.13,171.16,110.56,193.57,65.77,728.76,98.65,135.96,60.46,1947
"1996-97","Rabi",9796.81,353.08,70.19,212.21,1499.48,NA,571.52,3.03,2081.31,NA,83.2,112.97,172.78,41.95,125.9,81.63,234.12,67.8,523.06,56.47,105.44,119.05,1641.17
"1996-97","Total",19024.48,653.66,121.06,395.12,3018.42,NA,1197.74,10.8,3623.98,NA,145.32,250.72,382.01,77.08,297.06,192.19,427.69,133.57,1251.82,155.12,241.4,179.51,3588.17
"1997-98","Kharif",9479.08,330.37,49.83,184.88,1909.09,NA,883.41,7.69,2842.73,NA,76.77,162.83,180.08,50.23,216.65,97.51,148.16,107.87,788.15,108.72,107.6,5.38,1973.18
"1997-98","Rabi",10139.77,276.13,53.75,216.62,1750.65,NA,845.61,7.46,2529.46,NA,83.13,160.47,220.72,72.91,187.32,109.85,230.12,69.54,616.52,72.02,54.52,17.48,1811.47
"1997-98","Total",19618.85,606.5,103.58,401.5,3659.74,NA,1729.02,15.15,5372.19,NA,159.9,323.3,400.8,123.14,403.97,207.36,378.28,177.41,1404.67,180.74,162.12,22.86,3784.65
"1998-99","Kharif",9893.15,293.25,33.8,181.65,1826.57,NA,464.33,11.43,2674.78,NA,61.38,154.5,135.08,88.18,197.68,100.75,349.52,38.65,577.69,68.13,58.77,25.64,1794.59
"1998-99","Rabi",10503.28,272.51,44.85,286.57,1865.95,NA,1156.61,4.54,3153.48,NA,63.7,163,162.55,36.53,181.32,108.91,408.08,39.36,710.09,102.4,113.92,0.26,2026.42
"1998-99","Total",20396.43,565.76,78.65,468.22,3692.52,NA,1620.94,15.97,5828.26,NA,125.08,317.5,297.63,124.71,379,209.66,757.6,78.01,1287.78,170.53,172.69,25.9,3821.01
