"year","reporting_area_for_land_utilisation","forests","area_under_non_agricultural_uses","barren_and_unculturable_land","permanent_pastures_and_other_grazing_lands","land_under_miscellaneous_tree_crops","culturable_waste_land","current_fallows","fallow_lands_other_than_current_fallow","net_area_sown","gross_cropped_area"
"1950-51",284.31,40.48,9.36,38.16,6.67,19.83,22.94,10.68,17.45,118.75,131.89
"1951-52",287.83,48.89,12.69,37.48,8.59,7.88,23.93,13.81,15.15,119.4,133.23
"1952-53",290.79,51.15,12.32,37.42,8.63,7.76,23.68,12.9,13.48,123.44,137.68
"1953-54",291.9,51.08,13.28,36.38,10.88,5.8,22.9,12.03,12.75,126.81,142.48
"1954-55",291.38,50.43,13.78,34.52,11.22,5.77,22.8,11.96,13.04,127.84,144.09
"1955-56",291.92,51.34,13.92,34.48,11.47,5.88,21.54,11.58,12.54,129.16,147.31
"1956-57",292.18,51.39,13.98,33.39,12.19,5.78,21.28,11.36,11.97,130.85,149.49
"1957-58",293.44,52.18,14.11,33.23,12.83,6.09,20.6,12.7,12.62,129.08,145.83
"1958-59",293.66,51.41,14.3,33.16,13.09,6,20.18,11.45,12.26,131.83,151.63
"1959-60",297.25,54.02,14.9,33.43,13.68,5.82,19.46,11.93,11.08,132.94,152.82
"1960-61",298.46,54.05,14.84,35.91,13.97,4.46,19.21,11.64,11.18,133.2,152.77
"1961-62",299.15,54.19,14.79,35.92,14.08,4.5,18.63,11.15,10.48,135.4,156.21
"1962-63",304.98,60.54,15.11,35.16,14.1,4.56,17.91,11.06,10.2,136.34,156.76
"1963-64",305.17,60.69,15.27,34.81,14.59,4.38,17.65,11.23,10.06,136.48,156.96
"1964-65",305.25,60.35,15.44,34.8,14.74,4.11,17.37,11.16,9.17,138.12,159.23
"1965-66",305.54,61.54,15.17,34.33,14.81,4.08,16.96,13.18,9.26,136.2,155.28
"1966-67",305.49,63.46,15.36,32.16,14.02,4.02,16.67,13.53,9.05,137.23,157.35
"1967-68",306.12,64.22,15.47,31.83,13.8,3.97,16.23,11.92,8.8,139.88,163.74
"1968-69",305.88,64.79,15.65,31.59,13.32,3.88,16.06,14.1,9.19,137.31,159.53
"1969-70",303.89,63.89,15.87,30.29,12.99,4.45,15.79,12.32,9.59,138.69,162.26
"1970-71",303.75,63.83,16.48,28.13,13.26,4.37,17.5,10.6,8.73,140.86,165.79
"1971-72",304.14,63.77,16.97,28,12.96,4.28,17.46,12.67,8.31,139.72,165.19
"1972-73",303.99,65.43,16.66,25.82,12.71,4.53,17.33,15.18,9.19,137.14,162.15
"1973-74",304.09,65.73,16.8,25.22,12.78,4.14,17.07,11.29,8.65,142.42,169.87
"1974-75",304.14,65.88,18.38,23.16,12.86,3.77,17.03,16.31,8.97,137.79,164.19
"1975-76",304.33,66.7,18.66,21.58,12.59,3.63,17.74,12.55,9.23,141.65,171.3
"1976-77",304.68,67.16,18.93,21.52,12.53,3.63,17.47,14.57,9.38,139.48,167.33
"1977-78",304.18,67.14,19.05,20.22,12.35,3.69,17.18,13.03,9.57,141.95,172.23
"1978-79",304.68,67.47,19.2,20.14,12.14,3.63,17.29,12.47,9.37,142.98,174.8
"1979-80",304.13,67.5,19.54,20.16,12.12,3.53,16.66,15.7,10.03,138.9,169.59
"1980-81",304.16,67.46,19.6,19.96,11.99,3.58,16.74,14.83,9.72,140.29,172.63
"1981-82",304.28,67.36,19.63,20.09,12.03,3.6,16.42,13.37,9.66,142.12,176.75
"1982-83",304.09,67.33,19.87,20.1,11.93,3.54,16.33,14.82,9.36,140.81,172.75
"1983-84",304.19,66.6,20.24,20.34,12.03,3.63,15.56,13.31,9.27,143.21,179.56
"1984-85",304.31,66.39,20.46,20.24,12,3.57,15.88,15.36,9.51,140.9,176.33
"1985-86",304.7,67.07,20.63,20.09,11.78,3.56,15.72,14.89,10.05,140.9,178.46
"1986-87",305.01,66.88,20.88,20.16,11.84,3.63,15.55,16.24,10.26,139.58,176.41
"1987-88",304.84,66.94,21.17,20.11,11.72,3.51,15.53,20.91,10.86,134.09,170.74
"1988-89",304.83,66.94,21.3,19.92,11.53,3.51,15.17,14.32,10.25,141.89,182.28
"1989-90",304.88,67.41,21.26,19.7,11.3,3.8,15.1,13.69,10.27,142.34,182.27
"1990-91",304.86,67.81,21.09,19.39,11.4,3.82,14.99,13.7,9.66,143,185.74
"1991-92",304.9,67.87,21.46,19.27,11.3,3.76,14.99,14.67,9.94,141.63,182.24
"1992-93",304.86,67.98,21.77,19.12,11.1,3.78,14.59,14.19,9.67,142.65,185.62
"1993-94",304.88,68.28,22.21,18.69,10.97,3.7,14.41,14.38,9.83,142.42,186.59
"1994-95",304.83,68.6,22.56,18.46,11.03,3.73,14.26,13.25,9.97,142.96,188.05
