"Year","procurement_rice","procurement_wheat","procurement_total","offtake_rice","offtake_wheat","offtake_total","stocks_rice","stocks_wheat","stocks_total"
"1972-73 ",2.51,5,7.51,3.69,7.24,10.93,1.64,0.72,2.6
"1973-74 ",3.93,4.53,8.46,3.23,6.9,10.13,2.06,0.91,3.54
"1974-75 ",3.58,1.96,5.54,3.78,6.15,9.93,1.89,1.23,3.34
"1975-76 ",5.96,4.05,10.01,3,6.92,9.92,4.74,5.09,10.76
"1976-77 ",5.23,6.59,11.82,4.06,5.53,9.59,6.36,11.17,18.27
"1977-78 ",4.57,5.16,9.73,4.32,7.06,11.38,6.68,8.65,15.44
"1978-79 ",6.15,5.47,11.62,3.2,6.75,9.95,9.71,6.31,16.17
"1979-80 ",4.43,7.99,12.42,4.88,8.04,12.92,8.44,5.32,13.91
"1980-81 ",5.34,5.86,11.2,5.88,7.51,13.39,6.69,3.07,9.87
"1981-82 ",7.02,6.59,13.61,6.74,6.69,13.43,6.36,4.55,11.07
"1982-83 ",7.14,7.71,14.85,7.69,7.9,15.59,5.24,5.64,11.1
"1983-84 ",7.58,8.29,15.87,7.67,7.45,15.12,5.24,9.62,14.92
"1984-85 ",9.82,9.3,19.12,6.61,6.72,13.33,8.58,12.47,21.2
"1985-86 ",9.62,10.35,19.97,7.4,11.72,19.12,10.34,10.21,20.75
"1986-87 ",9.36,10.54,19.9,9.03,10.35,19.38,10.04,9.44,19.53
"1987-88 ",7.04,7.88,14.92,10.11,12.78,22.89,5.91,3.34,9.43
"1988-89 ",7.64,6.53,14.17,9.08,8.66,17.74,3.86,2.31,6.18
"1989-90 ",11.17,9,20.17,7.48,7.51,14.99,7.06,3.46,10.52
"1990-91 ",12.92,11.07,23.99,7.91,8.58,16.49,10.21,5.6,15.81
"1991-92 ",9.41,7.75,17.16,10.26,10.48,20.74,8.86,2.21,11.07
"1992-93 ",12.72,6.38,19.1,9.89,8.06,17.95,9.93,2.74,12.67
"1993-94 ",13.56,12.84,26.4,9.46,9.14,18.6,13.55,7,20.54
"1994-95 ",13.12,11.87,24.99,8.85,10.59,19.44,18.08,8.72,26.8
"1995-96 ",9.93,12.33,22.16,11.63,12.72,24.35,13.06,7.76,20.82
"1996-97 ",11.88,8.16,20.04,12.31,13.32,25.63,13.17,3.24,16.41
"1997-98 ",14.54,9.3,23.84,11.2,7.76,18.96,13.05,5.08,18.12
"1998-99 ",11.55,12.65,24.2,11.83,8.9,20.73,12.16,9.66,21.82
"1999-00 ",16.62,14.14,30.76,12.42,10.63,23.05,15.72,13.19,28.91
"2000-01 ",18.93,16.36,35.29,10.42,7.79,18.21,23.19,21.5,44.98
"2001-02 ",21.12,20.63,41.75,15.32,15.99,31.3,24.91,26.04,51.02
"2002-03 ",19,19.03,38.03,24.85,24.99,49.84,17.16,15.65,32.81
"2003-04 ",20.78,15.8,36.58,25.04,24.29,49.33,13.07,6.93,20.65
"2004-05 ",24.04,16.8,40.83,23.2,18.27,41.47,13.34,4.07,17.97
"2005-06 ",26.69,14.79,41.48,25.08,17.17,42.25,13.68,2.01,16.62
"2006-07 ",26.3,9.23,35.53,25.06,11.71,36.77,13.17,4.7,17.93
"2007-08 ",26.29,11.13,37.42,25.22,12.2,37.43,13.84,5.8,19.75
"2008-09 ",32.84,22.69,55.53,24.62,14.88,39.5,21.6,13.43,35.58
"2009-10 ",32.59,25.38,57.98,26.89,21.97,48.86,26.71,16.13,43.36
"2010-11 ",31.13,25.92,56.79,29.8,23.07,52.87,28.82,15.36,44.35
"2011-12 ",37.91,28.33,66.35,32.12,24.16,56.28,33.35,19.95,53.44
